step,energy,energy_delta,rmsd,reward,has_clash
1,137.4496,101.5865,10.7545,-0.36,0
2,136.8126,-0.6371,10.7545,2.64,0
3,137.1167,0.3041,13.193,-0.36,0
4,38.6005,-98.5162,16.6225,8.64,0
5,38.2042,-0.3963,16.6225,2.64,0
6,39.9508,1.7467,21.4017,-0.38,0
7,39.3256,-0.6253,21.4017,2.62,0
8,38.7807,-0.5449,21.5762,2.62,0
9,37.6545,-1.1262,21.5762,8.62,0
10,135.2503,97.5958,20.1541,-0.38,0
11,37.1201,-98.1303,17.7767,8.62,0
12,35.8357,-1.2843,17.7767,8.62,0
13,36.2774,0.4417,18.874,-0.38,0
14,36.2728,-0.0046,18.6246,2.62,0
15,37.0171,0.7442,18.6246,-0.38,0
16,37.0171,0.0,18.6246,-0.38,0
17,33.6409,-3.3761,18.4469,8.64,0
18,33.6409,0.0,18.4469,-2.3,1
19,33.6409,0.0,18.4469,-0.36,0
20,33.8342,0.1933,18.4469,-0.36,0
21,34.6257,0.7915,18.4469,-0.38,0
22,138.7122,104.0865,15.9011,-0.38,0
23,138.7122,0.0,15.9011,-0.38,0
24,141.7711,3.0589,14.5965,-0.38,0
25,138.9522,-2.8189,14.1194,8.62,0
26,134.5675,-4.3847,17.1034,8.62,0
27,135.2772,0.7096,17.1034,-0.38,0
28,135.4113,0.1341,17.1034,-0.38,0
29,234.5328,99.1215,16.193,-0.38,0
30,234.4621,-0.0707,16.193,2.62,0
31,137.2758,-97.1863,9.7105,8.62,0
32,137.0825,-0.1933,9.7105,2.62,0
33,136.5695,-0.513,9.7105,2.64,0
34,135.6925,-0.8771,9.7105,2.64,0
35,135.616,-0.0765,9.6934,2.64,0
36,33.7772,-101.8388,11.9592,8.64,0
37,36.0253,2.2481,12.297,-0.38,0
38,35.3151,-0.7102,12.297,2.62,0
39,37.9441,2.629,12.297,-0.38,0
40,37.4186,-0.5255,12.297,2.62,0
41,38.8577,1.4391,12.0249,-0.38,0
42,39.8963,1.0386,13.8907,-0.38,0
43,40.3131,0.4168,12.8189,-0.38,0
44,39.5763,-0.7368,12.8189,2.62,0
45,40.0224,0.4461,11.9177,-0.38,0
46,40.0271,0.0047,11.9177,-0.38,0
47,36.7827,-3.2445,10.4276,8.62,0
48,37.6237,0.841,10.4276,-0.38,0
49,37.6237,0.0,10.4276,-0.38,0
50,37.6237,0.0,10.4276,-0.38,0
