episode,protein,stage,total_reward,final_energy,rmsd,steps,clashes,policy_loss,value_loss,entropy,ss_reward,learning_rate
1,1L2Y,1,91.0,300.5557,16.7527,50,4,0,0,0,6.0,3.00e-04
2,1YRF,1,86.0,513.3666,21.4222,50,2,0,0,0,0.0,3.00e-04
3,1YRF,1,130.0,160.1347,30.122,50,1,0,0,0,3.0,3.00e-04
4,1L2Y,1,82.0,46.2397,17.7986,50,4,0,0,0,3.0,3.00e-04
5,1L2Y,1,152.0,46.2546,12.4222,50,2,0,0,0,0.0,3.00e-04
6,1YRF,1,-11.8,69.3132,23.6913,6,5,-0.0008,4.5015,8.1268,0.0,3.00e-04
7,1L2Y,1,126.0,46.8788,12.1215,50,0,0,0,0,6.0,3.00e-04
8,1L2Y,1,33.2,125.2543,17.6989,26,5,0,0,0,3.0,3.00e-04
9,1YRF,1,112.0,275.8462,21.8385,50,1,0,0,0,6.0,3.00e-04
10,1L2Y,1,132.0,34.2241,18.6359,50,0,0,0,0,12.0,3.00e-04
11,1YRF,1,127.0,60.6778,33.5231,50,4,0,0,0,6.0,3.00e-04
6,1L2Y,1,157.0,30.4514,26.173,50,1,-0.0008,6.8938,8.1268,12.0,3.00e-04
7,1L2Y,1,111.0,39.9703,15.9976,50,3,0,0,0,3.0,3.00e-04
8,1L2Y,1,166.0,41.0351,16.9693,50,1,0,0,0,0.0,3.00e-04
9,1L2Y,1,123.0,33.7774,25.5086,50,0,0,0,0,0.0,3.00e-04
10,1YRF,1,-11.5,64.5509,19.6485,5,5,0,0,0,0.0,3.00e-04
11,1YRF,1,122.0,72.68,29.0191,50,2,0,0,0,9.0,3.00e-04
12,1L2Y,1,121.0,36.721,19.5045,50,1,-0.0031,3.1347,8.1268,6.0,3.00e-04
13,1YRF,1,95.6,1019.2108,25.8033,48,5,0,0,0,9.0,3.00e-04
14,1YRF,1,-11.5,59.7285,31.289,5,5,0,0,0,0.0,3.00e-04
15,1YRF,1,144.0,154.0753,33.8591,50,0,0,0,0,6.0,3.00e-04
16,1L2Y,1,117.0,141.3229,18.9486,50,0,0,0,0,3.0,3.00e-04
17,1L2Y,1,138.0,40.6724,14.9612,50,3,0,0,0,6.0,3.00e-04
